ID,CATEGORY,LABEL,VALUE
fb_CashandCashEquivalentsandMarketableSecuritiesAbstract_C6D35999E45FD0F247FE0566179971F8,label_label,id,lab_fb_CashandCashEquivalentsandMarketableSecuritiesAbstract_C6D35999E45FD0F247FE0566179971F8_documentation_en-US
fb_CashandCashEquivalentsandMarketableSecuritiesAbstract_C6D35999E45FD0F247FE0566179971F8,label_label,label,lab_fb_CashandCashEquivalentsandMarketableSecuritiesAbstract_C6D35999E45FD0F247FE0566179971F8
fb_CashandCashEquivalentsandMarketableSecuritiesAbstract_C6D35999E45FD0F247FE0566179971F8,label_label,role,http://www.xbrl.org/2003/role/documentation
fb_CashandCashEquivalentsandMarketableSecuritiesAbstract_C6D35999E45FD0F247FE0566179971F8,label_label,type,resource
fb_CashandCashEquivalentsandMarketableSecuritiesAbstract_C6D35999E45FD0F247FE0566179971F8,label_label,lang,en-US
fb_CashandCashEquivalentsandMarketableSecuritiesAbstract_C6D35999E45FD0F247FE0566179971F8,label_label,"{'item_type': 'label_label', 'id': 'lab_fb_CashandCashEquivalentsandMarketableSecuritiesAbstract_C6D35999E45FD0F247FE0566179971F8_documentation_en-US', 'label': 'lab_fb_CashandCashEquivalentsandMarketableSecuritiesAbstract_C6D35999E45FD0F247FE0566179971F8', 'role': 'http://www.xbrl.org/2003/role/documentation', 'type': 'resource', 'lang': 'en-US'}",None
us-gaap_CashCashEquivalentsAndShortTermInvestmentsTextBlock_21E069B25A3307BFADB5056617999C70,label_label,item_type,label_label
us-gaap_CashCashEquivalentsAndShortTermInvestmentsTextBlock_21E069B25A3307BFADB5056617999C70,label_label,id,lab_us-gaap_CashCashEquivalentsAndShortTermInvestmentsTextBlock_21E069B25A3307BFADB5056617999C70_label_en-US
us-gaap_CashCashEquivalentsAndShortTermInvestmentsTextBlock_21E069B25A3307BFADB5056617999C70,label_label,label,lab_us-gaap_CashCashEquivalentsAndShortTermInvestmentsTextBlock_21E069B25A3307BFADB5056617999C70
us-gaap_CashCashEquivalentsAndShortTermInvestmentsTextBlock_21E069B25A3307BFADB5056617999C70,label_label,role,http://www.xbrl.org/2003/role/label
us-gaap_CashCashEquivalentsAndShortTermInvestmentsTextBlock_21E069B25A3307BFADB5056617999C70,label_label,type,resource
us-gaap_CashCashEquivalentsAndShortTermInvestmentsTextBlock_21E069B25A3307BFADB5056617999C70,label_label,lang,en-US
us-gaap_CashCashEquivalentsAndShortTermInvestmentsTextBlock_21E069B25A3307BFADB5056617999C70,label_label,"{'item_type': 'label_label', 'id': 'lab_us-gaap_CashCashEquivalentsAndShortTermInvestmentsTextBlock_21E069B25A3307BFADB5056617999C70_label_en-US', 'label': 'lab_us-gaap_CashCashEquivalentsAndShortTermInvestmentsTextBlock_21E069B25A3307BFADB5056617999C70', 'role': 'http://www.xbrl.org/2003/role/label', 'type': 'resource', 'lang': 'en-US'}",None
us-gaap_EarningsPerShareAbstract_41752E21048B8F532F6B056618F741EA,label_label,item_type,label_label
us-gaap_EarningsPerShareAbstract_41752E21048B8F532F6B056618F741EA,label_label,id,lab_us-gaap_EarningsPerShareAbstract_41752E21048B8F532F6B056618F741EA_label_en-US
us-gaap_EarningsPerShareAbstract_41752E21048B8F532F6B056618F741EA,label_label,label,lab_us-gaap_EarningsPerShareAbstract_41752E21048B8F532F6B056618F741EA
us-gaap_EarningsPerShareAbstract_41752E21048B8F532F6B056618F741EA,label_label,role,http://www.xbrl.org/2003/role/label
us-gaap_EarningsPerShareAbstract_41752E21048B8F532F6B056618F741EA,label_label,type,resource
us-gaap_EarningsPerShareAbstract_41752E21048B8F532F6B056618F741EA,label_label,lang,en-US
us-gaap_EarningsPerShareAbstract_41752E21048B8F532F6B056618F741EA,label_label,"{'item_type': 'label_label', 'id': 'lab_us-gaap_EarningsPerShareAbstract_41752E21048B8F532F6B056618F741EA_label_en-US', 'label': 'lab_us-gaap_EarningsPerShareAbstract_41752E21048B8F532F6B056618F741EA', 'role': 'http://www.xbrl.org/2003/role/label', 'type': 'resource', 'lang': 'en-US'}",None
us-gaap_ScheduleOfEarningsPerShareBasicAndDilutedTableTextBlock_ED0C576923668226E36E056618F78034,label_label,item_type,label_label
us-gaap_ScheduleOfEarningsPerShareBasicAndDilutedTableTextBlock_ED0C576923668226E36E056618F78034,label_label,id,lab_us-gaap_ScheduleOfEarningsPerShareBasicAndDilutedTableTextBlock_ED0C576923668226E36E056618F78034_label_en-US
us-gaap_ScheduleOfEarningsPerShareBasicAndDilutedTableTextBlock_ED0C576923668226E36E056618F78034,label_label,label,lab_us-gaap_ScheduleOfEarningsPerShareBasicAndDilutedTableTextBlock_ED0C576923668226E36E056618F78034
us-gaap_ScheduleOfEarningsPerShareBasicAndDilutedTableTextBlock_ED0C576923668226E36E056618F78034,label_label,role,http://www.xbrl.org/2003/role/label
us-gaap_ScheduleOfEarningsPerShareBasicAndDilutedTableTextBlock_ED0C576923668226E36E056618F78034,label_label,type,resource
us-gaap_ScheduleOfEarningsPerShareBasicAndDilutedTableTextBlock_ED0C576923668226E36E056618F78034,label_label,lang,en-US
us-gaap_ScheduleOfEarningsPerShareBasicAndDilutedTableTextBlock_ED0C576923668226E36E056618F78034,label_label,"{'item_type': 'label_label', 'id': 'lab_us-gaap_ScheduleOfEarningsPerShareBasicAndDilutedTableTextBlock_ED0C576923668226E36E056618F78034_label_en-US', 'label': 'lab_us-gaap_ScheduleOfEarningsPerShareBasicAndDilutedTableTextBlock_ED0C576923668226E36E056618F78034', 'role': 'http://www.xbrl.org/2003/role/label', 'type': 'resource', 'lang': 'en-US'}",None
us-gaap_EmployeeServiceShareBasedCompensationNonvestedAwardsTotalCompensationCostNotYetRecognized_5C7D81CEC0E6B4E08E76056617C84A2B,label_label,item_type,label_label
us-gaap_EmployeeServiceShareBasedCompensationNonvestedAwardsTotalCompensationCostNotYetRecognized_5C7D81CEC0E6B4E08E76056617C84A2B,label_label,id,lab_us-gaap_EmployeeServiceShareBasedCompensationNonvestedAwardsTotalCompensationCostNotYetRecognized_5C7D81CEC0E6B4E08E76056617C84A2B_label_en-US
us-gaap_EmployeeServiceShareBasedCompensationNonvestedAwardsTotalCompensationCostNotYetRecognized_5C7D81CEC0E6B4E08E76056617C84A2B,label_label,label,lab_us-gaap_EmployeeServiceShareBasedCompensationNonvestedAwardsTotalCompensationCostNotYetRecognized_5C7D81CEC0E6B4E08E76056617C84A2B
us-gaap_EmployeeServiceShareBasedCompensationNonvestedAwardsTotalCompensationCostNotYetRecognized_5C7D81CEC0E6B4E08E76056617C84A2B,label_label,role,http://www.xbrl.org/2003/role/label
us-gaap_EmployeeServiceShareBasedCompensationNonvestedAwardsTotalCompensationCostNotYetRecognized_5C7D81CEC0E6B4E08E76056617C84A2B,label_label,type,resource
us-gaap_EmployeeServiceShareBasedCompensationNonvestedAwardsTotalCompensationCostNotYetRecognized_5C7D81CEC0E6B4E08E76056617C84A2B,label_label,lang,en-US
us-gaap_EmployeeServiceShareBasedCompensationNonvestedAwardsTotalCompensationCostNotYetRecognized_5C7D81CEC0E6B4E08E76056617C84A2B,label_label,"{'item_type': 'label_label', 'id': 'lab_us-gaap_EmployeeServiceShareBasedCompensationNonvestedAwardsTotalCompensationCostNotYetRecognized_5C7D81CEC0E6B4E08E76056617C84A2B_label_en-US', 'label': 'lab_us-gaap_EmployeeServiceShareBasedCompensationNonvestedAwardsTotalCompensationCostNotYetRecognized_5C7D81CEC0E6B4E08E76056617C84A2B', 'role': 'http://www.xbrl.org/2003/role/label', 'type': 'resource', 'lang': 'en-US'}",None
us-gaap_EmployeeServiceShareBasedCompensationNonvestedAwardsTotalCompensationCostNotYetRecognizedPeriodForRecognition1_18A4336C66805541D4A7056617C85D4E,label_label,item_type,label_label
us-gaap_EmployeeServiceShareBasedCompensationNonvestedAwardsTotalCompensationCostNotYetRecognizedPeriodForRecognition1_18A4336C66805541D4A7056617C85D4E,label_label,id,lab_us-gaap_EmployeeServiceShareBasedCompensationNonvestedAwardsTotalCompensationCostNotYetRecognizedPeriodForRecognition1_18A4336C66805541D4A7056617C85D4E_label_en-US
us-gaap_EmployeeServiceShareBasedCompensationNonvestedAwardsTotalCompensationCostNotYetRecognizedPeriodForRecognition1_18A4336C66805541D4A7056617C85D4E,label_label,label,lab_us-gaap_EmployeeServiceShareBasedCompensationNonvestedAwardsTotalCompensationCostNotYetRecognizedPeriodForRecognition1_18A4336C66805541D4A7056617C85D4E
us-gaap_EmployeeServiceShareBasedCompensationNonvestedAwardsTotalCompensationCostNotYetRecognizedPeriodForRecognition1_18A4336C66805541D4A7056617C85D4E,label_label,role,http://www.xbrl.org/2003/role/label
us-gaap_EmployeeServiceShareBasedCompensationNonvestedAwardsTotalCompensationCostNotYetRecognizedPeriodForRecognition1_18A4336C66805541D4A7056617C85D4E,label_label,type,resource
us-gaap_EmployeeServiceShareBasedCompensationNonvestedAwardsTotalCompensationCostNotYetRecognizedPeriodForRecognition1_18A4336C66805541D4A7056617C85D4E,label_label,lang,en-US
us-gaap_EmployeeServiceShareBasedCompensationNonvestedAwardsTotalCompensationCostNotYetRecognizedPeriodForRecognition1_18A4336C66805541D4A7056617C85D4E,label_label,"{'item_type': 'label_label', 'id': 'lab_us-gaap_EmployeeServiceShareBasedCompensationNonvestedAwardsTotalCompensationCostNotYetRecognizedPeriodForRecognition1_18A4336C66805541D4A7056617C85D4E_label_en-US', 'label': 'lab_us-gaap_EmployeeServiceShareBasedCompensationNonvestedAwardsTotalCompensationCostNotYetRecognizedPeriodForRecognition1_18A4336C66805541D4A7056617C85D4E', 'role': 'http://www.xbrl.org/2003/role/label', 'type': 'resource', 'lang': 'en-US'}",None
us-gaap_SubsequentEventsAbstract_D45066D96BD6341C9F7D918B278F5596,label_label,item_type,label_label
us-gaap_SubsequentEventsAbstract_D45066D96BD6341C9F7D918B278F5596,label_label,id,lab_us-gaap_SubsequentEventsAbstract_D45066D96BD6341C9F7D918B278F5596_label_en-US
us-gaap_SubsequentEventsAbstract_D45066D96BD6341C9F7D918B278F5596,label_label,label,lab_us-gaap_SubsequentEventsAbstract_D45066D96BD6341C9F7D918B278F5596
us-gaap_SubsequentEventsAbstract_D45066D96BD6341C9F7D918B278F5596,label_label,role,http://www.xbrl.org/2003/role/label
us-gaap_SubsequentEventsAbstract_D45066D96BD6341C9F7D918B278F5596,label_label,type,resource
us-gaap_SubsequentEventsAbstract_D45066D96BD6341C9F7D918B278F5596,label_label,lang,en-US
us-gaap_SubsequentEventsAbstract_D45066D96BD6341C9F7D918B278F5596,label_label,"{'item_type': 'label_label', 'id': 'lab_us-gaap_SubsequentEventsAbstract_D45066D96BD6341C9F7D918B278F5596_label_en-US', 'label': 'lab_us-gaap_SubsequentEventsAbstract_D45066D96BD6341C9F7D918B278F5596', 'role': 'http://www.xbrl.org/2003/role/label', 'type': 'resource', 'lang': 'en-US'}",None
us-gaap_SubsequentEventTable_501860AD8CC7A3FCD8F0918B278FDD88,label_label,item_type,label_label
us-gaap_SubsequentEventTable_501860AD8CC7A3FCD8F0918B278FDD88,label_label,id,lab_us-gaap_SubsequentEventTable_501860AD8CC7A3FCD8F0918B278FDD88_label_en-US
us-gaap_SubsequentEventTable_501860AD8CC7A3FCD8F0918B278FDD88,label_label,label,lab_us-gaap_SubsequentEventTable_501860AD8CC7A3FCD8F0918B278FDD88
us-gaap_SubsequentEventTable_501860AD8CC7A3FCD8F0918B278FDD88,label_label,role,http://www.xbrl.org/2003/role/label
us-gaap_SubsequentEventTable_501860AD8CC7A3FCD8F0918B278FDD88,label_label,type,resource
us-gaap_SubsequentEventTable_501860AD8CC7A3FCD8F0918B278FDD88,label_label,lang,en-US
us-gaap_SubsequentEventTable_501860AD8CC7A3FCD8F0918B278FDD88,label_label,"{'item_type': 'label_label', 'id': 'lab_us-gaap_SubsequentEventTable_501860AD8CC7A3FCD8F0918B278FDD88_label_en-US', 'label': 'lab_us-gaap_SubsequentEventTable_501860AD8CC7A3FCD8F0918B278FDD88', 'role': 'http://www.xbrl.org/2003/role/label', 'type': 'resource', 'lang': 'en-US'}",None
us-gaap_SubsequentEventTypeAxis_17D3BB18A91F2BF868D4918B278FD2E2,label_label,item_type,label_label
us-gaap_SubsequentEventTypeAxis_17D3BB18A91F2BF868D4918B278FD2E2,label_label,id,lab_us-gaap_SubsequentEventTypeAxis_17D3BB18A91F2BF868D4918B278FD2E2_label_en-US
us-gaap_SubsequentEventTypeAxis_17D3BB18A91F2BF868D4918B278FD2E2,label_label,label,lab_us-gaap_SubsequentEventTypeAxis_17D3BB18A91F2BF868D4918B278FD2E2
us-gaap_SubsequentEventTypeAxis_17D3BB18A91F2BF868D4918B278FD2E2,label_label,role,http://www.xbrl.org/2003/role/label
us-gaap_SubsequentEventTypeAxis_17D3BB18A91F2BF868D4918B278FD2E2,label_label,type,resource
us-gaap_SubsequentEventTypeAxis_17D3BB18A91F2BF868D4918B278FD2E2,label_label,lang,en-US
us-gaap_SubsequentEventTypeAxis_17D3BB18A91F2BF868D4918B278FD2E2,label_label,"{'item_type': 'label_label', 'id': 'lab_us-gaap_SubsequentEventTypeAxis_17D3BB18A91F2BF868D4918B278FD2E2_label_en-US', 'label': 'lab_us-gaap_SubsequentEventTypeAxis_17D3BB18A91F2BF868D4918B278FD2E2', 'role': 'http://www.xbrl.org/2003/role/label', 'type': 'resource', 'lang': 'en-US'}",None
us-gaap_SubsequentEventTypeDomain_C49CB3675EBF8CCAA599918B278F7DBF,label_label,item_type,label_label
us-gaap_SubsequentEventTypeDomain_C49CB3675EBF8CCAA599918B278F7DBF,label_label,id,lab_us-gaap_SubsequentEventTypeDomain_C49CB3675EBF8CCAA599918B278F7DBF_label_en-US
us-gaap_SubsequentEventTypeDomain_C49CB3675EBF8CCAA599918B278F7DBF,label_label,label,lab_us-gaap_SubsequentEventTypeDomain_C49CB3675EBF8CCAA599918B278F7DBF
us-gaap_SubsequentEventTypeDomain_C49CB3675EBF8CCAA599918B278F7DBF,label_label,role,http://www.xbrl.org/2003/role/label
us-gaap_SubsequentEventTypeDomain_C49CB3675EBF8CCAA599918B278F7DBF,label_label,type,resource
us-gaap_SubsequentEventTypeDomain_C49CB3675EBF8CCAA599918B278F7DBF,label_label,lang,en-US
us-gaap_SubsequentEventTypeDomain_C49CB3675EBF8CCAA599918B278F7DBF,label_label,"{'item_type': 'label_label', 'id': 'lab_us-gaap_SubsequentEventTypeDomain_C49CB3675EBF8CCAA599918B278F7DBF_label_en-US', 'label': 'lab_us-gaap_SubsequentEventTypeDomain_C49CB3675EBF8CCAA599918B278F7DBF', 'role': 'http://www.xbrl.org/2003/role/label', 'type': 'resource', 'lang': 'en-US'}",None
us-gaap_SubsequentEventMember_8EDCE0BA25A524607EA2918B2790AC6C,label_label,item_type,label_label
us-gaap_SubsequentEventMember_8EDCE0BA25A524607EA2918B2790AC6C,label_label,id,lab_us-gaap_SubsequentEventMember_8EDCE0BA25A524607EA2918B2790AC6C_label_en-US
us-gaap_SubsequentEventMember_8EDCE0BA25A524607EA2918B2790AC6C,label_label,label,lab_us-gaap_SubsequentEventMember_8EDCE0BA25A524607EA2918B2790AC6C
us-gaap_SubsequentEventMember_8EDCE0BA25A524607EA2918B2790AC6C,label_label,role,http://www.xbrl.org/2003/role/label
us-gaap_SubsequentEventMember_8EDCE0BA25A524607EA2918B2790AC6C,label_label,type,resource
us-gaap_SubsequentEventMember_8EDCE0BA25A524607EA2918B2790AC6C,label_label,lang,en-US
