FILE,LABEL,VALUE
calculation,href,http://xbrl.fasb.org/us-gaap/2020/elts/us-gaap-2020-01-31.xsd#us-gaap_CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect
calculation,label,loc_us-gaap_CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect_7e98a0be-51ae-18d0-54bf-b32eca8c5c1d
calculation,type,locator
calculation,item_type,calculation_loc
calculation,href,http://xbrl.fasb.org/us-gaap/2020/elts/us-gaap-2020-01-31.xsd#us-gaap_NetCashProvidedByUsedInOperatingActivities
calculation,label,loc_us-gaap_NetCashProvidedByUsedInOperatingActivities_13d5d34e-e391-ca89-d84d-71b1e1c2a78c
calculation,type,locator
calculation,item_type,calculation_calculationArc
calculation,order,1
calculation,weight,1
calculation,arcrole,http://www.xbrl.org/2003/arcrole/summation-item
calculation,from,loc_us-gaap_CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect_7e98a0be-51ae-18d0-54bf-b32eca8c5c1d
calculation,to,loc_us-gaap_NetCashProvidedByUsedInOperatingActivities_13d5d34e-e391-ca89-d84d-71b1e1c2a78c
calculation,type,arc
calculation,item_type,calculation_loc
calculation,href,http://xbrl.fasb.org/us-gaap/2020/elts/us-gaap-2020-01-31.xsd#us-gaap_IncreaseDecreaseInOtherNoncurrentLiabilities
calculation,label,loc_us-gaap_IncreaseDecreaseInOtherNoncurrentLiabilities_c43c65af-c472-8a37-c1d6-5871b3c0eb16
calculation,type,locator
calculation,item_type,calculation_calculationArc
calculation,order,1
calculation,weight,1
calculation,arcrole,http://www.xbrl.org/2003/arcrole/summation-item
calculation,from,loc_us-gaap_NetCashProvidedByUsedInOperatingActivities_13d5d34e-e391-ca89-d84d-71b1e1c2a78c
calculation,to,loc_us-gaap_IncreaseDecreaseInOtherNoncurrentLiabilities_c43c65af-c472-8a37-c1d6-5871b3c0eb16
calculation,type,arc
calculation,item_type,calculation_loc
calculation,href,http://xbrl.fasb.org/us-gaap/2020/elts/us-gaap-2020-01-31.xsd#us-gaap_NetIncomeLoss
calculation,label,loc_us-gaap_NetIncomeLoss_aaf4fade-f652-62f8-cf02-c59447905641
calculation,type,locator
calculation,item_type,calculation_calculationArc
calculation,order,2
calculation,weight,1
calculation,arcrole,http://www.xbrl.org/2003/arcrole/summation-item
calculation,from,loc_us-gaap_NetCashProvidedByUsedInOperatingActivities_13d5d34e-e391-ca89-d84d-71b1e1c2a78c
calculation,to,loc_us-gaap_NetIncomeLoss_aaf4fade-f652-62f8-cf02-c59447905641
calculation,type,arc
calculation,item_type,calculation_loc
calculation,href,http://xbrl.fasb.org/us-gaap/2020/elts/us-gaap-2020-01-31.xsd#us-gaap_DepreciationDepletionAndAmortization
calculation,label,loc_us-gaap_DepreciationDepletionAndAmortization_fb4a1534-3ea3-3150-f601-42486b71bc63
calculation,type,locator
calculation,item_type,calculation_calculationArc
calculation,order,3
calculation,weight,1
calculation,arcrole,http://www.xbrl.org/2003/arcrole/summation-item
calculation,from,loc_us-gaap_NetCashProvidedByUsedInOperatingActivities_13d5d34e-e391-ca89-d84d-71b1e1c2a78c
calculation,to,loc_us-gaap_DepreciationDepletionAndAmortization_fb4a1534-3ea3-3150-f601-42486b71bc63
calculation,type,arc
calculation,item_type,calculation_loc
calculation,href,http://xbrl.fasb.org/us-gaap/2020/elts/us-gaap-2020-01-31.xsd#us-gaap_ShareBasedCompensation
calculation,label,loc_us-gaap_ShareBasedCompensation_8e70545b-e41a-5c88-3aeb-15f273c05266
calculation,type,locator
calculation,item_type,calculation_calculationArc
calculation,order,4
calculation,weight,1
calculation,arcrole,http://www.xbrl.org/2003/arcrole/summation-item
calculation,from,loc_us-gaap_NetCashProvidedByUsedInOperatingActivities_13d5d34e-e391-ca89-d84d-71b1e1c2a78c
calculation,to,loc_us-gaap_ShareBasedCompensation_8e70545b-e41a-5c88-3aeb-15f273c05266
calculation,type,arc
calculation,item_type,calculation_loc
calculation,href,http://xbrl.fasb.org/us-gaap/2020/elts/us-gaap-2020-01-31.xsd#us-gaap_DeferredIncomeTaxExpenseBenefit
calculation,label,loc_us-gaap_DeferredIncomeTaxExpenseBenefit_282d8de6-1466-4351-6593-66c6a3dfd2f5
calculation,type,locator
calculation,item_type,calculation_calculationArc
calculation,order,5
calculation,weight,1
calculation,arcrole,http://www.xbrl.org/2003/arcrole/summation-item
calculation,from,loc_us-gaap_NetCashProvidedByUsedInOperatingActivities_13d5d34e-e391-ca89-d84d-71b1e1c2a78c
calculation,to,loc_us-gaap_DeferredIncomeTaxExpenseBenefit_282d8de6-1466-4351-6593-66c6a3dfd2f5
calculation,type,arc
calculation,item_type,calculation_loc
calculation,href,http://xbrl.fasb.org/us-gaap/2020/elts/us-gaap-2020-01-31.xsd#us-gaap_OtherNoncashIncomeExpense
calculation,label,loc_us-gaap_OtherNoncashIncomeExpense_0f2b9828-5f8e-5896-c7bd-f8b6ab4926af
calculation,type,locator
calculation,item_type,calculation_calculationArc
calculation,order,6
calculation,weight,-1
calculation,arcrole,http://www.xbrl.org/2003/arcrole/summation-item
calculation,from,loc_us-gaap_NetCashProvidedByUsedInOperatingActivities_13d5d34e-e391-ca89-d84d-71b1e1c2a78c
calculation,to,loc_us-gaap_OtherNoncashIncomeExpense_0f2b9828-5f8e-5896-c7bd-f8b6ab4926af
calculation,type,arc
calculation,item_type,calculation_loc
calculation,href,http://xbrl.fasb.org/us-gaap/2020/elts/us-gaap-2020-01-31.xsd#us-gaap_IncreaseDecreaseInAccountsReceivable
calculation,label,loc_us-gaap_IncreaseDecreaseInAccountsReceivable_753ca67e-e0b1-89f6-0f4c-664d01a2b0f7
calculation,type,locator
calculation,item_type,calculation_calculationArc
calculation,order,7
calculation,weight,-1
calculation,arcrole,http://www.xbrl.org/2003/arcrole/summation-item
calculation,from,loc_us-gaap_NetCashProvidedByUsedInOperatingActivities_13d5d34e-e391-ca89-d84d-71b1e1c2a78c
calculation,to,loc_us-gaap_IncreaseDecreaseInAccountsReceivable_753ca67e-e0b1-89f6-0f4c-664d01a2b0f7
calculation,type,arc
calculation,item_type,calculation_loc
